
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,090741,CME ,00,090 ,  167890,    8720,  111472,     688,   47336,   10332,    2696,   60212,   18358,    4406,    4588,    1092,     382,  129028,  149426,   38862,   18464,   -8981,    -431,    3891,     423,   -1446,    -244,     -10,   -3580,  -13671,    1175,   -1504,    -500,     -23,   -5396,   -8959,   -3585,     -22,  100.0,    5.2,   66.4,    0.4,   28.2,    6.2,    1.6,   35.9,   10.9,    2.6,    2.7,    0.7,    0.2,   76.9,   89.0,   23.1,   11.0,     98,      4,     13,      6,     21,      5,      4,     28,     19,     14,      6,.,.,     72,     52,    28.5,    54.6,    40.2,    67.9,    27.9,    54.6,    38.9,    67.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,092741,CME ,00,092 ,   73968,   28240,   18667,      57,    4560,    6098,     404,   24833,   33488,     863,     480,    1776,       0,   59437,   61353,   14531,   12615,    1381,    -845,    3799,      28,     937,     135,    -131,    -396,    -362,    -405,       0,       0,       0,    -812,    3064,    2193,   -1683,  100.0,   38.2,   25.2,    0.1,    6.2,    8.2,    0.5,   33.6,   45.3,    1.2,    0.6,    2.4,    0.0,   80.4,   82.9,   19.6,   17.1,     50,.,      6,.,.,      6,.,     14,     17,      7,.,.,      0,     26,     35,    54.2,    43.2,    66.0,    58.2,    54.2,    43.2,    65.9,    58.0,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,096742,CME ,00,096 ,  216402,   42302,   82577,    1770,   35781,   65356,    4305,   86358,   28098,    4612,    1663,    8714,       0,  176791,  195432,   39611,   20970,  -18678,    2969,   -4179,    -726,   -2339,     -47,    -564,  -13869,   -9428,     389,    -149,       5,       0,  -14289,  -14550,   -4389,   -4128,  100.0,   19.5,   38.2,    0.8,   16.5,   30.2,    2.0,   39.9,   13.0,    2.1,    0.8,    4.0,    0.0,   81.7,   90.3,   18.3,    9.7,    123,      8,      8,.,     19,     19,      6,     37,     23,     16,      4,      4,      0,     80,     67,    28.0,    50.6,    37.0,    61.5,    28.0,    49.8,    36.6,    60.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,097741,CME ,00,097 ,  249478,  115170,   74370,     795,   34515,    9369,    9833,   55555,  122496,    3521,    1595,    1177,      64,  221048,  221625,   28430,   27853,  -10759,    -686,    1781,     -91,    -549,   -3572,    1355,   -6661,   -9767,    -673,    -147,    -400,    -101,   -7553,  -11468,   -3206,     709,  100.0,   46.2,   29.8,    0.3,   13.8,    3.8,    3.9,   22.3,   49.1,    1.4,    0.6,    0.5,    0.0,   88.6,   88.8,   11.4,   11.2,    118,      9,      9,      6,     21,     14,     12,     31,     28,     18,.,.,.,     82,     74,    49.5,    49.3,    58.3,    61.5,    49.2,    49.3,    57.8,    61.5,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,099741,CME ,00,099 ,  596937,   58824,  331291,    7232,  268920,  118546,   18971,  118937,   52485,   11775,   23839,    6811,    1712,  510210,  548823,   86727,   48114,   -6523,    7935,   -6253,     463,    1665,    1243,   -3316,   -9160,    1241,    -840,    -952,    -575,     395,   -3810,   -7642,   -2713,    1119,  100.0,    9.9,   55.5,    1.2,   45.0,   19.9,    3.2,   19.9,    8.8,    2.0,    4.0,    1.1,    0.3,   85.5,   91.9,   14.5,    8.1,    265,     20,     11,     14,     80,     30,     42,     53,     34,     24,     27,      9,      5,    204,    146,    21.4,    47.7,    31.8,    64.6,    20.9,    47.5,    31.3,    64.1,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,232741,CME ,00,232 ,  139810,   15955,   57785,    1013,   19896,   18375,    2157,   63792,   34030,    2124,      81,    1550,      60,  105078,  117094,   34732,   22716,    -394,   -2709,    2640,       1,    1443,   -1648,     -14,    2398,    -738,     582,    -132,    1550,       2,    1571,    2375,   -1965,   -2769,  100.0,   11.4,   41.3,    0.7,   14.2,   13.1,    1.5,   45.6,   24.3,    1.5,    0.1,    1.1,    0.0,   75.2,   83.8,   24.8,   16.2,     96,      8,      8,      6,     15,      9,      5,     35,     18,     11,.,.,.,     69,     50,    20.8,    40.1,    33.7,    55.6,    20.8,    39.8,    33.3,    54.8,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,299741,CME ,00,099 ,   36209,       0,   22644,       0,   19216,    2222,    1657,       0,    4178,     696,       0,     771,       5,   21574,   32173,   14635,    4036,   -1780,    -626,    -776,     -10,   -1389,       0,     100,    -691,   -1143,       9,       0,       0,       0,   -2607,   -1820,     827,      40,  100.0,    0.0,   62.5,    0.0,   53.1,    6.1,    4.6,    0.0,   11.5,    1.9,    0.0,    2.1,    0.0,   59.6,   88.9,   40.4,   11.1,     26,      0,.,      0,     16,.,      6,      0,      4,.,      0,.,.,     19,     15,    33.6,    74.1,    43.6,    83.8,    31.7,    71.9,    41.3,    80.7,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,399741,CME ,00,099 ,   27001,    2005,    8260,     414,   12672,    5215,    1972,       0,    7591,      12,       0,       0,       0,   17075,   23464,    9926,    3537,   -2103,     -42,     208,       0,     101,   -1268,      12,   -3116,   -1454,       0,       0,       0,       0,   -3045,   -2502,     942,     399,  100.0,    7.4,   30.6,    1.5,   46.9,   19.3,    7.3,    0.0,   28.1,    0.0,    0.0,    0.0,    0.0,   63.2,   86.9,   36.8,   13.1,     19,.,.,.,      8,      4,      8,      0,.,.,      0,      0,      0,     15,     15,    44.5,    73.2,    56.7,    82.2,    44.2,    70.4,    52.2,    77.9,"(CONTRACTS OF EUR 125,000)","399741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,089741,CME ,00,089 ,   52446,       0,   48717,     226,   20780,       0,       0,   28439,    2575,       0,     793,     118,       0,   50238,   51636,    2208,     810,   -6494,       0,   -1657,       0,   -7006,       0,       0,     434,   -4634,       0,     288,       1,       0,   -6284,   -6290,    -210,    -204,  100.0,    0.0,   92.9,    0.4,   39.6,    0.0,    0.0,   54.2,    4.9,    0.0,    1.5,    0.2,    0.0,   95.8,   98.5,    4.2,    1.5,     30,      0,      6,.,      4,      0,      0,     13,.,      0,.,.,      0,     21,     10,    83.4,    86.1,    89.1,    98.0,    83.4,    85.7,    89.1,    97.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,095741,CME ,00,095 ,  201316,    9537,  101020,      70,   71033,   13480,       9,  107564,   68310,    4397,    2160,   10112,       0,  194770,  197398,    6546,    3918,   12487,    -218,   10789,    -192,    -237,    -752,    -150,   13387,    1929,     -78,     297,     330,       0,   12809,   11876,    -322,     611,  100.0,    4.7,   50.2,    0.0,   35.3,    6.7,    0.0,   53.4,   33.9,    2.2,    1.1,    5.0,    0.0,   96.7,   98.1,    3.3,    1.9,    137,      4,      8,.,     18,      8,.,     54,     22,      7,     10,     12,      0,     91,     55,    50.5,    63.4,    66.6,    77.6,    50.5,    63.4,    66.6,    77.6,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
