"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,090741,CME ,00,090 ,  180240,    6803,   49950,   17484,   26979,   22867,    3125,   76198,   43526,    7198,   10839,    1660,     400,  149026,  146210,   31214,   34030,   25762,    1809,   -2513,   11328,   -1284,    5093,      58,   18510,   10845,   -2731,    1584,     646,       5,   29279,   22731,   -3517,    3031,  100.0,    3.8,   27.7,    9.7,   15.0,   12.7,    1.7,   42.3,   24.1,    4.0,    6.0,    0.9,    0.2,   82.7,   81.1,   17.3,   18.9,     97,      4,     11,     11,     11,     12,      5,     16,     30,     13,     10,.,.,     60,     69,    39.8,    32.2,    52.8,    43.6,    39.5,    27.2,    48.7,    36.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,092741,CME ,00,092 ,   44305,   10360,     428,       0,    2086,    5453,     373,   19564,   22360,     145,     480,    1618,       0,   33008,   30377,   11297,   13928,  -18916,  -16102,  -16098,   -2037,    -171,     695,       0,    4765,    1913,   -2684,       0,       0,       0,  -16229,  -18211,   -2687,    -705,  100.0,   23.4,    1.0,    0.0,    4.7,   12.3,    0.8,   44.2,   50.5,    0.3,    1.1,    3.7,    0.0,   74.5,   68.6,   25.5,   31.4,     45,      5,.,      0,      4,      7,.,     13,     13,.,.,.,      0,     25,     23,    30.3,    37.4,    48.3,    51.3,    30.3,    37.4,    48.3,    51.3,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,096742,CME ,00,096 ,  159183,   10251,   36762,     238,   27152,   58277,    4104,   78076,   27455,    2100,    1925,    8753,      12,  123858,  137701,   35325,   21482,  -46968,  -28333,  -19422,  -15742,     930,     908,      71,    2972,   -6678,   -4835,    -635,     463,       0,  -45572,  -45235,   -1396,   -1733,  100.0,    6.4,   23.1,    0.1,   17.1,   36.6,    2.6,   49.0,   17.2,    1.3,    1.2,    5.5,    0.0,   77.8,   86.5,   22.2,   13.5,    122,      5,     12,.,     20,     18,      7,     41,     19,     17,.,      4,.,     81,     69,    27.1,    41.3,    36.2,    54.0,    26.6,    41.1,    35.7,    53.8,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,097741,CME ,00,097 ,  160250,   10188,   41090,     680,   31990,   17772,    7986,   70286,   59427,    4157,    2204,     975,       0,  127491,  132087,   32759,   28163, -119421, -107122,  -99216,   -6278,    1151,    -954,     404,   -2494,  -12003,   -1690,     564,      75,      -3, -115468, -119665,   -3953,     244,  100.0,    6.4,   25.6,    0.4,   20.0,   11.1,    5.0,   43.9,   37.1,    2.6,    1.4,    0.6,    0.0,   79.6,   82.4,   20.4,   17.6,    118,      8,      8,      7,     21,     16,     12,     35,     23,     15,      4,.,      0,     82,     70,    23.0,    39.9,    32.1,    55.2,    22.6,    38.6,    31.2,    53.5,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,099741,CME ,00,099 ,  496964,   38865,  261561,    2276,  236044,   89973,   25996,   75540,   49876,   12036,   22779,    7619,     761,  414297,  450098,   82667,   46866,  -87795,  -38408,  -45334,   -3815,  -10988,  -10058,    2613,   -7164,    4909,  -14414,    2328,     369,    -967,  -70815,  -66697,  -16980,  -21098,  100.0,    7.8,   52.6,    0.5,   47.5,   18.1,    5.2,   15.2,   10.0,    2.4,    4.6,    1.5,    0.2,   83.4,   90.6,   16.6,    9.4,    266,     18,     13,     13,     81,     31,     39,     50,     38,     24,     23,     10,      5,    201,    146,    19.4,    50.7,    27.5,    62.1,    18.6,    50.5,    26.1,    61.5,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,232741,CME ,00,232 ,   97255,    7520,   18471,     727,    8470,   20914,    1962,   53296,   25141,    3335,     506,    1291,       0,   75816,   71841,   21439,   25414,   -9218,   -8520,  -11279,   -5094,   -2323,    4188,      21,   15077,    2860,   -2332,       4,     564,     -31,   -3198,  -11103,   -6020,    1885,  100.0,    7.7,   19.0,    0.7,    8.7,   21.5,    2.0,   54.8,   25.9,    3.4,    0.5,    1.3,    0.0,   78.0,   73.9,   22.0,   26.1,     88,      8,      6,      4,     10,      9,      6,     29,     22,     10,.,.,      0,     58,     50,    24.7,    35.3,    38.3,    45.2,    23.6,    34.9,    36.4,    44.7,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,299741,CME ,00,099 ,   34511,       0,   23987,       0,   17684,    1310,    1281,     439,    3690,     225,       0,     771,       5,   19634,   31269,   14877,    3242,   -5184,       0,    2339,       0,   -1120,       0,    -517,       4,   -4172,   -1216,       0,       0,       0,   -2849,   -3566,   -2335,   -1618,  100.0,    0.0,   69.5,    0.0,   51.2,    3.8,    3.7,    1.3,   10.7,    0.7,    0.0,    2.2,    0.0,   56.9,   90.6,   43.1,    9.4,     25,      0,.,      0,     15,.,      6,.,.,.,      0,.,.,     19,     15,    32.3,    77.2,    43.0,    86.0,    30.7,    77.1,    41.3,    85.0,"(CONTRACTS OF EUR 125,000)","299741","CME ","099 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,089741,CME ,00,089 ,   28873,    2000,   26229,       0,   18049,       0,       0,    6699,    1567,      48,     154,     150,       0,   26950,   27994,    1923,     879,  -18524,    1197,   -1933,  -15773,   -1003,       0,       0,   -1190,     270,    -828,    -581,       0,       0,  -18178,  -18264,    -346,    -260,  100.0,    6.9,   90.8,    0.0,   62.5,    0.0,    0.0,   23.2,    5.4,    0.2,    0.5,    0.5,    0.0,   93.3,   97.0,    6.7,    3.0,     25,.,      4,      0,.,      0,      0,     13,.,.,.,.,      0,     18,      8,    73.0,    92.0,    84.2,    97.0,    73.0,    92.0,    84.2,    96.8,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,095741,CME ,00,095 ,  182537,   14473,   58584,       0,   79341,   11151,       3,   77775,   96542,    1848,    2188,   10421,       0,  175628,  178549,    6909,    3988,  -13686,     291,  -27108,       0,    2035,    1105,    -579,   -9372,   17382,   -4252,    -220,     587,    -734,  -12831,  -13599,    -855,     -87,  100.0,    7.9,   32.1,    0.0,   43.5,    6.1,    0.0,   42.6,   52.9,    1.0,    1.2,    5.7,    0.0,   96.2,   97.8,    3.8,    2.2,    148,      4,      6,      0,     22,      8,.,     56,     30,      7,      9,     13,      0,     93,     63,    44.1,    65.5,    61.3,    74.5,    44.1,    65.5,    61.3,    74.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,102741,CME ,00,102 ,   22821,    7276,    2123,       0,    5947,   15476,       0,    6726,    2830,     594,       0,     780,       0,   20543,   21803,    2278,    1018,     171,   -1000,       0,       0,      37,    2193,       0,    1298,   -2378,     236,    -385,     -25,       0,     186,      26,     -15,     145,  100.0,   31.9,    9.3,    0.0,   26.1,   67.8,    0.0,   29.5,   12.4,    2.6,    0.0,    3.4,    0.0,   90.0,   95.5,   10.0,    4.5,     26,.,.,      0,      4,.,      0,     11,      6,.,      0,.,      0,     17,     11,    75.6,    88.4,    83.4,    93.7,    75.6,    86.8,    83.1,    91.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
