"WHEAT-SRW - CHICAGO BOARD OF TRADE",180410,2018-04-10,001602,CBT ,00,001 ,  467838,   49662,  149079,  106117,    1369,   14637,   76231,  121092,   52170,   81605,   31385,   55274,  435696,  425006,   32142,   42832,  139035,   25242,   22418,   16308,    8673,       0,   46409,   66430,    2378,   35740,   26044,     529,  126606,  126472,   12429,   12563,  328803,   24420,  126661,   99188,    2075,    5258,   51404,   76244,   28210,   70755,   30231,   29855,  309090,  298534,   19713,   30269,  -31028,  -15308,    5239,    1341,     322,   -8211,    7891,  -19211,   -8233,   -5314,    -161,   -2071,  -29905,  -32326,   -1123,    1298,  100.0,   10.6,   31.9,   22.7,    0.3,    3.1,   16.3,   25.9,   11.2,   17.4,    6.7,   11.8,   93.1,   90.8,    6.9,    9.2,  100.0,   18.2,   16.1,   11.7,    6.2,    0.0,   33.4,   47.8,    1.7,   25.7,   18.7,    0.4,   91.1,   91.0,    8.9,    9.0,  100.0,    7.4,   38.5,   30.2,    0.6,    1.6,   15.6,   23.2,    8.6,   21.5,    9.2,    9.1,   94.0,   90.8,    6.0,    9.2,    411,     73,     92,     22,      4,     15,     56,     63,     53,     81,     56,     76,    307,    302,    306,     51,     50,     16,      8,      0,     46,     38,     11,     66,     39,.,    187,    142,    360,     49,     88,     20,      4,     10,     41,     60,     39,     56,     67,     57,    232,    267,    14.6,     9.5,    23.4,    17.8,    12.5,     8.9,    20.7,    15.7,    15.0,    22.4,    26.2,    38.1,    14.9,    22.0,    25.8,    37.7,    18.0,    12.3,    28.3,    21.6,    17.0,    11.1,    27.2,    18.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",180410,2018-04-10,001612,CBT ,00,001 ,  272176,   54549,  134427,   38266,    4306,   15487,   53569,   21283,   35597,   28105,   12638,   23174,  248747,  246912,   23429,   25264,   74781,   20093,   27252,    6096,   15042,       0,   25563,   14695,    3048,   12721,    8976,       0,   67521,   69013,    7260,    5768,  197395,   34456,  107175,   43818,     912,    3839,   40748,   19330,   19807,   20118,    8396,   18440,  181226,  177899,   16169,   19496,  -18378,   -9277,    4968,    2437,   -3861,   -6897,    2773,   -9537,   -1403,   -4208,     177,   -2548,  -19123,  -19101,     745,     723,  100.0,   20.0,   49.4,   14.1,    1.6,    5.7,   19.7,    7.8,   13.1,   10.3,    4.6,    8.5,   91.4,   90.7,    8.6,    9.3,  100.0,   26.9,   36.4,    8.2,   20.1,    0.0,   34.2,   19.7,    4.1,   17.0,   12.0,    0.0,   90.3,   92.3,    9.7,    7.7,  100.0,   17.5,   54.3,   22.2,    0.5,    1.9,   20.6,    9.8,   10.0,   10.2,    4.3,    9.3,   91.8,   90.1,    8.2,    9.9,    255,     61,     81,     15,.,      8,     48,     23,     38,     42,     19,     40,    203,    187,    203,     36,     53,     10,      7,      0,     31,     17,      7,     33,     20,      0,    113,    101,    229,     47,     77,     14,.,      4,     40,     22,     27,     36,     23,     31,    165,    162,    13.8,    21.3,    22.3,    29.6,     8.5,    15.0,    15.2,    22.1,    22.5,    20.8,    33.9,    36.4,    22.5,    20.8,    33.3,    36.4,    16.7,    27.6,    25.8,    37.7,    14.4,    21.3,    22.4,    28.5,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","FutOnly"
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",180410,2018-04-10,001626,MGE ,00,001 ,   67558,   30853,   36028,    3578,       0,    1463,    7619,    9012,     719,    8020,    3726,    2283,   54535,   53231,   13023,   14327,   49061,   20634,   27333,    1552,     754,     568,    7655,    8672,     397,    7964,    2142,    1308,   40078,   41174,    8983,    7887,   18497,   10219,    8695,    2780,       0,     141,     280,     656,       6,     696,    2224,     335,   14457,   12057,    4040,    6440,    3771,     737,    3321,     305,       0,     213,    1240,    -454,      76,    -310,      64,     863,    3124,    4083,     647,    -312,  100.0,   45.7,   53.3,    5.3,    0.0,    2.2,   11.3,   13.3,    1.1,   11.9,    5.5,    3.4,   80.7,   78.8,   19.3,   21.2,  100.0,   42.1,   55.7,    3.2,    1.5,    1.2,   15.6,   17.7,    0.8,   16.2,    4.4,    2.7,   81.7,   83.9,   18.3,   16.1,  100.0,   55.2,   47.0,   15.0,    0.0,    0.8,    1.5,    3.5,    0.0,    3.8,   12.0,    1.8,   78.2,   65.2,   21.8,   34.8,     99,     44,     33,      6,      0,.,     12,      7,      7,     15,      6,     12,     87,     60,     98,     39,     24,      5,.,.,     10,      7,      4,     18,      5,      8,     80,     44,     63,     21,     26,      4,      0,.,      4,.,.,      5,     10,      7,     40,     43,    22.8,    27.8,    35.2,    42.7,    17.5,    23.5,    25.5,    34.7,    27.7,    34.4,    38.1,    48.8,    20.3,    28.1,    28.1,    41.2,    40.1,    24.5,    55.4,    36.5,    40.1,    24.5,    55.1,    36.1,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","FutOnly"
"CORN - CHICAGO BOARD OF TRADE",180410,2018-04-10,002602,CBT ,00,002 , 1882013,  428661,  980464,  281224,   31015,   61750,  323112,  153327,  165868,  289935,   77416,  176377, 1726927, 1646217,  155086,  235796, 1294997,  243320,  669988,  247006,   16167,   16721,  289812,  189387,   88427,  218919,  105258,   85302, 1189507, 1171250,  105490,  123747,  587016,  185341,  310476,   52906,   33536,   26341,   99392,   30032,   11349,  135137,   36279,   26954,  537420,  474967,   49596,  112049,   16076,    2929,   20364,    6768,     918,  -15879,    3388,  -28152,   17019,  -18736,   -2183,   21041,   16530,   13128,    -454,    2948,  100.0,   22.8,   52.1,   14.9,    1.6,    3.3,   17.2,    8.1,    8.8,   15.4,    4.1,    9.4,   91.8,   87.5,    8.2,   12.5,  100.0,   18.8,   51.7,   19.1,    1.2,    1.3,   22.4,   14.6,    6.8,   16.9,    8.1,    6.6,   91.9,   90.4,    8.1,    9.6,  100.0,   31.6,   52.9,    9.0,    5.7,    4.5,   16.9,    5.1,    1.9,   23.0,    6.2,    4.6,   91.6,   80.9,    8.4,   19.1,    877,    277,    359,     19,      9,     19,    100,     48,     80,    139,     85,    131,    653,    654,    830,    245,    333,     21,      7,     11,     83,     54,     65,    140,     83,     86,    574,    568,    640,    122,    319,     13,     10,     10,     55,     18,     16,     76,     86,     51,    310,    478,    12.4,    12.2,    19.0,    18.6,     7.9,     8.1,    13.5,    12.9,    11.2,    16.1,    18.6,    23.2,    11.0,    15.4,    18.1,    21.2,    23.5,    11.1,    34.8,    18.4,    19.8,     8.1,    29.1,    14.2,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","FutOnly"
"OATS - CHICAGO BOARD OF TRADE",180410,2018-04-10,004603,CBT ,00,004 ,    6735,     898,    3119,     304,       0,       0,       0,     853,       0,    1641,     356,     184,    3027,    4512,    3708,    2223,    3782,     410,    1366,       0,       0,       0,       0,     758,       0,    1187,     405,       0,    1597,    2529,    2185,    1253,    2953,     488,    1753,     304,       0,       0,       0,      95,       0,     638,     135,       0,    1430,    1983,    1523,     970,     -98,    -155,    -247,       1,       0,      -1,       0,    -101,       0,     -63,       2,     -70,    -288,    -417,     190,     319,  100.0,   13.3,   46.3,    4.5,    0.0,    0.0,    0.0,   12.7,    0.0,   24.4,    5.3,    2.7,   44.9,   67.0,   55.1,   33.0,  100.0,   10.8,   36.1,    0.0,    0.0,    0.0,    0.0,   20.0,    0.0,   31.4,   10.7,    0.0,   42.2,   66.9,   57.8,   33.1,  100.0,   16.5,   59.4,   10.3,    0.0,    0.0,    0.0,    3.2,    0.0,   21.6,    4.6,    0.0,   48.4,   67.2,   51.6,   32.8,     29,      7,      6,.,      0,      0,      0,      5,      0,      7,      5,      4,     17,     19,     24,      4,      5,      0,      0,      0,      0,      4,      0,      4,      7,      0,      8,     16,     18,      4,      6,.,      0,      0,      0,.,      0,      5,.,      0,     11,      9,    24.6,    40.8,    38.2,    55.0,    23.4,    40.0,    35.1,    51.8,    36.6,    46.1,    42.2,    57.6,    36.6,    46.1,    42.2,    57.6,    35.0,    56.2,    47.8,    66.7,    35.0,    56.1,    47.3,    66.6,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 ","A10","FutOnly"
"SOYBEANS - CHICAGO BOARD OF TRADE",180410,2018-04-10,005602,CBT ,00,005 ,  936447,  276117,  557537,  158375,   22791,   26971,  180851,   11312,   76205,  101291,   60565,   65517,  885327,  820898,   51120,  115549,  644359,  175089,  403465,  109369,   21420,    8075,  158763,   15636,   49364,   75121,   53897,   35745,  611526,  587602,   32833,   56757,  292088,  101028,  154072,   54473,    6838,   13429,   34415,    8003,   14514,   41303,   21801,   14639,  273801,  233296,   18287,   58792,   30230,   16646,   23819,    2771,     740,     136,   -4042,   -1152,    5631,    2133,    -561,    3017,   26292,   31630,    3938,   -1400,  100.0,   29.5,   59.5,   16.9,    2.4,    2.9,   19.3,    1.2,    8.1,   10.8,    6.5,    7.0,   94.5,   87.7,    5.5,   12.3,  100.0,   27.2,   62.6,   17.0,    3.3,    1.3,   24.6,    2.4,    7.7,   11.7,    8.4,    5.5,   94.9,   91.2,    5.1,    8.8,  100.0,   34.6,   52.7,   18.6,    2.3,    4.6,   11.8,    2.7,    5.0,   14.1,    7.5,    5.0,   93.7,   79.9,    6.3,   20.1,    669,    167,    242,     20,      7,     18,     94,     23,     64,    101,    107,    110,    479,    507,    631,    127,    223,     17,     10,     13,     90,     21,     47,     86,    116,     68,    384,    451,    501,    109,    207,     17,      7,     11,     48,     20,     19,     83,     78,     49,    293,    359,    13.2,    15.0,    20.6,    24.3,    10.9,    11.7,    17.0,    18.6,    14.9,    19.0,    23.0,    29.5,    14.6,    16.5,    22.3,    26.4,    18.9,    12.7,    29.4,    21.6,    13.1,    10.0,    20.6,    16.1,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","FutOnly"
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",180410,2018-04-10,005603,CBT ,00,005 ,   35467,     740,    8958,       0,       0,       0,       0,       0,       0,   28199,    3812,     825,   29764,   13595,    5703,   21872,   12173,     740,    2977,       0,       0,       0,       0,       0,       0,    9712,    1015,     544,   10996,    4536,    1177,    7637,   23294,       0,    5981,       0,       0,       0,       0,       0,       0,   18729,    3039,      39,   18768,    9059,    4526,   14235,    1361,     -54,     675,       0,       0,       0,       0,       0,       0,    1362,      42,      -9,    1299,     708,      62,     653,  100.0,    2.1,   25.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   79.5,   10.7,    2.3,   83.9,   38.3,   16.1,   61.7,  100.0,    6.1,   24.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   79.8,    8.3,    4.5,   90.3,   37.3,    9.7,   62.7,  100.0,    0.0,   25.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   80.4,   13.0,    0.2,   80.6,   38.9,   19.4,   61.1,     32,.,     17,      0,      0,      0,      0,      0,      0,      6,      9,      4,      7,     30,     30,.,     16,      0,      0,      0,      0,      0,      0,      5,      9,.,      7,     26,     31,      0,     17,      0,      0,      0,      0,      0,      0,      5,      9,.,      5,     29,    78.3,    15.4,    83.9,    22.1,    76.8,    15.4,    81.1,    22.1,    82.7,    19.8,    90.3,    27.1,    78.5,    17.6,    85.8,    24.2,    79.3,    16.6,    80.6,    24.1,    79.1,    16.6,    80.4,    24.1,"(Contracts of 1,000 Bushels)","005603","CBT ","005 ","A30","FutOnly"
"NJ SRECS VINTAGE 2018 - ICE FUTURES ENERGY DIV",180410,2018-04-10,00639X,IFED,01,006 ,   45014,   33999,   23041,       0,       0,       0,       0,       0,       0,   11015,   21973,       0,   45014,   45014,       0,       0,   45014,   33999,   23041,       0,       0,       0,       0,       0,       0,   11015,   21973,       0,   45014,   45014,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   75.5,   51.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   24.5,   48.8,    0.0,  100.0,  100.0,    0.0,    0.0,  100.0,   75.5,   51.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   24.5,   48.8,    0.0,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     28,     10,      6,      0,      0,      0,      0,      0,      0,      4,     11,      0,     14,     17,     28,     10,      6,      0,      0,      0,      0,      0,      0,      4,     11,      0,     14,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    67.0,    61.2,    91.2,    88.0,    67.0,    60.2,    91.2,    85.1,    67.0,    61.2,    91.2,    88.0,    67.0,    60.2,    91.2,    85.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","00639X","IFED","006 ","N60","FutOnly"
"CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV",180410,2018-04-10,00639Y,IFED,01,006 ,   34588,   30527,   14374,    2975,   12855,     350,       0,       0,       0,     710,    7009,       0,   34562,   34588,      26,       0,   34588,   30527,   14374,    2975,   12855,     350,       0,       0,       0,     710,    7009,       0,   34562,   34588,      26,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -46,       0,       0,       0,     -46,       0,       0,       0,       0,       0,      46,     -46,     -46,     -46,       0,       0,  100.0,   88.3,   41.6,    8.6,   37.2,    1.0,    0.0,    0.0,    0.0,    2.1,   20.3,    0.0,   99.9,  100.0,    0.1,    0.0,  100.0,   88.3,   41.6,    8.6,   37.2,    1.0,    0.0,    0.0,    0.0,    2.1,   20.3,    0.0,   99.9,  100.0,    0.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      6,      7,.,.,.,      0,      0,      0,      5,      5,      0,     13,     14,     22,      6,      7,.,.,.,      0,      0,      0,      5,      5,      0,     13,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    87.0,    69.1,    98.0,    95.0,    83.1,    65.4,    91.1,    90.1,    87.0,    69.1,    98.0,    95.0,    83.1,    65.4,    91.1,    90.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 california carbon allowances","00639Y","IFED","006 ","N60","FutOnly"
"CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV",180410,2018-04-10,0063A2,IFED,01,006 ,   46074,   35054,   13655,       0,   21906,    1309,      50,       0,       0,    5781,    5359,    3845,   46039,   46074,      35,       0,   46074,   35054,   13655,       0,   21906,    1309,      50,       0,       0,    5781,    5359,    3845,   46039,   46074,      35,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2365,    2080,    2230,       0,    -134,     414,       0,       0,       0,     137,     146,    -291,    2340,    2365,      25,       0,  100.0,   76.1,   29.6,    0.0,   47.5,    2.8,    0.1,    0.0,    0.0,   12.5,   11.6,    8.3,   99.9,  100.0,    0.1,    0.0,  100.0,   76.1,   29.6,    0.0,   47.5,    2.8,    0.1,    0.0,    0.0,   12.5,   11.6,    8.3,   99.9,  100.0,    0.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     10,      7,      0,      4,.,.,      0,      0,     15,      5,      5,     31,     19,     36,     10,      7,      0,      4,.,.,      0,      0,     15,      5,      5,     31,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    71.4,    52.4,    86.1,    78.3,    62.7,    50.5,    69.8,    69.1,    71.4,    52.4,    86.1,    78.3,    62.7,    50.5,    69.8,    69.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063A2","IFED","006 ","N60","FutOnly"
