"WHEAT-SRW - CHICAGO BOARD OF TRADE",180717,2018-07-17,001602,CBT ,00,001 ,  471315,  158467,  119908,  102402,  181339,  203844,  442208,  426154,   29107,   45161,  424529,  152090,  117593,   85829,  162107,  184509,  400026,  387931,   24503,   36598,   46786,   15716,   11654,    7234,   19232,   19335,   42182,   38223,    4604,    8563,    1244,    5296,   -2184,   -3409,   -2320,    7979,    -433,    2386,    1677,   -1142,  100.0,   33.6,   25.4,   21.7,   38.5,   43.3,   93.8,   90.4,    6.2,    9.6,  100.0,   35.8,   27.7,   20.2,   38.2,   43.5,   94.2,   91.4,    5.8,    8.6,  100.0,   33.6,   24.9,   15.5,   41.1,   41.3,   90.2,   81.7,    9.8,   18.3,    390,    123,    111,    111,     88,    118,    276,    289,    385,    125,    115,    101,     84,    116,    265,    280,    141,     23,     31,     22,     27,     74,     64,    117,    13.8,    13.2,    22.8,    20.9,    11.5,     9.0,    18.8,    14.8,    13.9,    13.8,    23.7,    22.3,    11.3,     9.7,    19.1,    15.9,    41.2,    23.1,    55.9,    36.0,    39.9,    19.8,    49.6,    28.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE",180717,2018-07-17,00160F,CBT ,00,001 ,   22220,    8670,     100,     600,   12810,   21040,   22080,   21740,     140,     480,   22220,    8670,     100,     600,   12810,   21040,   22080,   21740,     140,     480,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     150,    -800,       0,     100,     950,     -90,     250,      10,    -100,     140,  100.0,   39.0,    0.5,    2.7,   57.7,   94.7,   99.4,   97.8,    0.6,    2.2,  100.0,   39.0,    0.5,    2.7,   57.7,   94.7,   99.4,   97.8,    0.6,    2.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,      4,      1,      3,     11,     16,     17,     19,     23,      4,      1,      3,     11,     16,     17,     19,      0,      0,      0,      0,      0,      0,      0,      0,    67.6,    66.7,    89.6,    83.8,    63.5,    53.9,    69.4,    61.7,    67.6,    66.7,    89.6,    83.8,    63.5,    53.9,    69.4,    61.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"50 Metric Tons","00160F","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",180717,2018-07-17,001612,CBT ,00,001 ,  274418,   88120,   55774,   51870,  115069,  143374,  255059,  251018,   19359,   23400,  260440,   88933,   57260,   45045,  108085,  137779,  242063,  240084,   18377,   20356,   13978,    5270,    4597,     742,    6984,    5595,   12996,   10934,     982,    3044,    8071,    1915,    3819,    3572,    2695,    2491,    8182,    9882,    -111,   -1811,  100.0,   32.1,   20.3,   18.9,   41.9,   52.2,   92.9,   91.5,    7.1,    8.5,  100.0,   34.1,   22.0,   17.3,   41.5,   52.9,   92.9,   92.2,    7.1,    7.8,  100.0,   37.7,   32.9,    5.3,   50.0,   40.0,   93.0,   78.2,    7.0,   21.8,    261,     83,     53,     66,     78,     88,    192,    186,    257,     82,     55,     61,     75,     84,    184,    179,     99,     14,     19,      5,     20,     59,     36,     81,    13.5,    18.5,    22.7,    27.5,     9.6,    14.1,    16.5,    22.7,    14.1,    19.5,    23.7,    28.8,    10.1,    16.0,    17.2,    24.8,    50.6,    25.3,    70.5,    40.5,    50.6,    25.3,    69.5,    38.2,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",180717,2018-07-17,001626,MGE ,00,001 ,   59552,   10165,   21266,    3568,   35576,   21885,   49309,   46719,   10243,   12833,   58119,   10514,   21202,    3213,   34299,   21481,   48026,   45896,   10093,   12223,    1433,       0,     413,       6,    1277,     404,    1283,     823,     150,     610,    4840,     788,    2477,     464,    3603,    1891,    4855,    4832,     -15,       8,  100.0,   17.1,   35.7,    6.0,   59.7,   36.7,   82.8,   78.5,   17.2,   21.5,  100.0,   18.1,   36.5,    5.5,   59.0,   37.0,   82.6,   79.0,   17.4,   21.0,  100.0,    0.0,   28.8,    0.4,   89.1,   28.2,   89.5,   57.4,   10.5,   42.6,     93,     18,     22,     13,     46,     27,     75,     53,     93,     19,     22,     12,     44,     26,     73,     51,     24,      0,      6,      1,      8,     11,      9,     17,    28.7,    25.5,    39.4,    40.5,    26.0,    25.2,    34.6,    38.3,    28.6,    26.1,    38.7,    41.5,    25.3,    25.8,    34.0,    39.2,    82.7,    39.8,    89.2,    51.7,    82.7,    39.8,    87.8,    51.7,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",180717,2018-07-17,002602,CBT ,00,002 , 1845765,  584925,  494120,  273971,  812194,  885161, 1671090, 1653252,  174675,  192513,  647467,  385251,  277372,   12360,  192857,  314383,  590468,  604115,   56999,   43352, 1198298,  360747,  377821,  100538,  619337,  570778, 1080622, 1049137,  117676,  149161,   27710,     626,   19141,   20976,    4417,   -3891,   26019,   36226,    1691,   -8516,  100.0,   31.7,   26.8,   14.8,   44.0,   48.0,   90.5,   89.6,    9.5,   10.4,  100.0,   59.5,   42.8,    1.9,   29.8,   48.6,   91.2,   93.3,    8.8,    6.7,  100.0,   30.1,   31.5,    8.4,   51.7,   47.6,   90.2,   87.6,    9.8,   12.4,    878,    213,    165,    176,    310,    362,    628,    625,    689,    147,    119,     18,    206,    272,    359,    403,    801,    202,    136,    115,    239,    339,    504,    541,    13.3,     9.5,    19.6,    15.6,     7.1,     6.5,    12.1,    10.9,    14.6,    18.1,    24.4,    27.1,    14.5,    17.9,    23.7,    26.9,    20.4,     9.9,    27.2,    17.3,    16.1,     8.7,    22.1,    14.6,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",180717,2018-07-17,004603,CBT ,00,004 ,    4904,    1339,    1015,      17,    1516,    2197,    2872,    3229,    2032,    1675,    4904,    1339,    1015,      17,    1516,    2197,    2872,    3229,    2032,    1675,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     156,      41,    -255,      16,      57,     233,     114,      -6,      42,     162,  100.0,   27.3,   20.7,    0.3,   30.9,   44.8,   58.6,   65.8,   41.4,   34.2,  100.0,   27.3,   20.7,    0.3,   30.9,   44.8,   58.6,   65.8,   41.4,   34.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      6,      9,      3,      6,      7,     13,     18,     27,      6,      9,      3,      6,      7,     13,     18,      0,      0,      0,      0,      0,      0,      0,      0,    35.9,    36.2,    51.0,    52.7,    35.9,    33.0,    50.3,    49.5,    35.9,    36.2,    51.0,    52.7,    35.9,    33.0,    50.3,    49.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",180717,2018-07-17,005602,CBT ,00,005 ,  857941,  188067,  186917,  156664,  450988,  425802,  795719,  769383,   62222,   88558,   80420,   28127,   20193,     532,   42293,   50791,   70952,   71516,    9468,    8904,  777521,  175253,  182037,  140819,  408695,  375011,  724767,  697867,   52754,   79654,   26209,    1272,    5269,   10611,   13224,   10615,   25107,   26495,    1102,    -286,  100.0,   21.9,   21.8,   18.3,   52.6,   49.6,   92.7,   89.7,    7.3,   10.3,  100.0,   35.0,   25.1,    0.7,   52.6,   63.2,   88.2,   88.9,   11.8,   11.1,  100.0,   22.5,   23.4,   18.1,   52.6,   48.2,   93.2,   89.8,    6.8,   10.2,    665,    183,    156,    176,    208,    239,    483,    506,    364,     85,     63,      8,    104,    132,    193,    199,    653,    171,    172,    153,    177,    232,    436,    484,    14.9,    11.3,    22.4,    19.6,    10.7,     7.6,    15.7,    12.7,    17.8,    30.1,    26.1,    40.9,    17.8,    29.1,    26.1,    39.9,    15.6,    11.3,    23.4,    20.2,    11.5,     7.3,    17.1,    12.0,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",180717,2018-07-17,005603,CBT ,00,005 ,   26398,   10548,    3650,     486,     571,    7586,   11605,   11722,   14793,   14676,    1540,     702,     265,       1,     526,     269,    1229,     535,     311,    1005,   24858,   10204,    3743,     127,      45,    7317,   10376,   11187,   14482,   13671,      88,      42,      46,      92,     -63,      25,      71,     163,      17,     -75,  100.0,   40.0,   13.8,    1.8,    2.2,   28.7,   44.0,   44.4,   56.0,   55.6,  100.0,   45.6,   17.2,    0.1,   34.2,   17.5,   79.8,   34.7,   20.2,   65.3,  100.0,   41.0,   15.1,    0.5,    0.2,   29.4,   41.7,   45.0,   58.3,   55.0,     31,      2,      9,      5,      5,     20,     10,     31,     27,      4,      6,      1,      4,     14,      8,     21,     31,      2,      9,      4,      2,     20,      6,     31,    43.7,    17.5,    44.0,    25.6,    41.2,    16.6,    41.2,    24.6,    79.3,    25.6,    79.8,    30.8,    79.3,    25.6,    79.7,    30.8,    41.7,    17.7,    41.7,    26.1,    41.0,    17.5,    41.0,    25.9,"(Contracts of 1,000 Bushels)","005603","CBT ","005 "
"NJ SRECS VINTAGE 2018 - ICE FUTURES ENERGY DIV",180717,2018-07-17,00639X,IFED,01,006 ,   38266,    7560,   24787,     145,   30561,   13334,   38266,   38266,       0,       0,   38266,    7560,   24787,     145,   30561,   13334,   38266,   38266,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -50,      50,     121,       0,    -100,    -171,     -50,     -50,       0,       0,  100.0,   19.8,   64.8,    0.4,   79.9,   34.8,  100.0,  100.0,    0.0,    0.0,  100.0,   19.8,   64.8,    0.4,   79.9,   34.8,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     32,      3,     12,      2,     12,      8,     17,     20,     32,      3,     12,      2,     12,      8,     17,     20,      0,      0,      0,      0,      0,      0,      0,      0,    72.1,    61.5,    96.5,    90.1,    72.1,    61.4,    96.5,    88.7,    72.1,    61.5,    96.5,    90.1,    72.1,    61.4,    96.5,    88.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","00639X","IFED","006 "
"CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV",180717,2018-07-17,00639Y,IFED,01,006 ,   20027,     823,    3488,       0,   19164,   16523,   19987,   20011,      40,      16,   20027,     823,    3488,       0,   19164,   16523,   19987,   20011,      40,      16,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     185,       0,      45,       0,     185,     140,     185,     185,       0,       0,  100.0,    4.1,   17.4,    0.0,   95.7,   82.5,   99.8,   99.9,    0.2,    0.1,  100.0,    4.1,   17.4,    0.0,   95.7,   82.5,   99.8,   99.9,    0.2,    0.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      5,      4,      0,      7,     10,     12,     14,     22,      5,      4,      0,      7,     10,     12,     14,      0,      0,      0,      0,      0,      0,      0,      0,    90.0,    63.9,    98.5,    96.4,    77.8,    63.9,    86.3,    86.7,    90.0,    63.9,    98.5,    96.4,    77.8,    63.9,    86.3,    86.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 california carbon allowances","00639Y","IFED","006 "
