"WHEAT-SRW - CHICAGO BOARD OF TRADE",190108,2019-01-08,001602,CBT ,00,001 ,  547663,  128157,  132776,  191872,  189192,  176009,  509221,  500657,   38442,   47006,  373739,  116367,  118997,  114393,  116388,  110772,  347148,  344162,   26592,   29577,  173924,   48385,   50374,   40885,   72804,   65237,  162074,  156495,   11850,   17429,    5449,    2663,  -10945,   15131,  -11026,     317,    6768,    4502,   -1319,     947,  100.0,   23.4,   24.2,   35.0,   34.5,   32.1,   93.0,   91.4,    7.0,    8.6,  100.0,   31.1,   31.8,   30.6,   31.1,   29.6,   92.9,   92.1,    7.1,    7.9,  100.0,   27.8,   29.0,   23.5,   41.9,   37.5,   93.2,   90.0,    6.8,   10.0,    399,    131,    123,    157,    109,    115,    333,    313,    384,    135,    115,    117,    101,    108,    289,    289,    243,     72,     62,     59,     59,     90,    168,    179,    11.4,    11.0,    19.8,    19.1,     8.1,     8.3,    14.0,    13.9,    11.6,    13.5,    19.4,    22.2,     9.5,    11.7,    15.9,    19.0,    21.9,    18.6,    34.9,    28.6,    19.0,    14.1,    27.6,    21.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE",190108,2019-01-08,00160F,CBT ,00,001 ,   12500,    2918,     500,     100,    9092,   11210,   12110,   11810,     390,     690,    8474,    1742,     600,       0,    6372,    7334,    8114,    7934,     360,     540,    4027,    1276,       0,       0,    2720,    3877,    3996,    3877,      30,     150,   -5283,   -3667,       0,       0,   -1429,   -5000,   -5096,   -5000,    -188,    -284,  100.0,   23.3,    4.0,    0.8,   72.7,   89.7,   96.9,   94.5,    3.1,    5.5,  100.0,   20.6,    7.1,    0.0,   75.2,   86.5,   95.8,   93.6,    4.2,    6.4,  100.0,   31.7,    0.0,    0.0,   67.6,   96.3,   99.2,   96.3,    0.8,    3.7,     23,      4,      2,      1,     12,      9,     17,     11,     15,      2,      2,      0,      7,      7,      9,      9,     15,      3,      0,      0,      8,      6,     11,      6,    53.1,    76.4,    79.1,    91.2,    41.1,    70.9,    63.4,    76.4,    73.5,    81.8,    93.4,    93.3,    67.0,    80.0,    86.6,    84.5,    59.6,    93.7,    86.8,    96.3,    57.6,    86.3,    81.8,    86.3,"50 Metric Tons","00160F","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",190108,2019-01-08,001612,CBT ,00,001 ,  323796,   85076,   82694,   77053,  130680,  142427,  292808,  302174,   30988,   21622,  254751,   88234,   88765,   40785,  100940,  111490,  229959,  241040,   24792,   13711,   69045,   23239,   20326,    9871,   29739,   30936,   62849,   61134,    6196,    7911,    8208,   -2162,   -2500,    5074,    3451,    5119,    6364,    7694,    1844,     514,  100.0,   26.3,   25.5,   23.8,   40.4,   44.0,   90.4,   93.3,    9.6,    6.7,  100.0,   34.6,   34.8,   16.0,   39.6,   43.8,   90.3,   94.6,    9.7,    5.4,  100.0,   33.7,   29.4,   14.3,   43.1,   44.8,   91.0,   88.5,    9.0,   11.5,    275,     87,     55,     80,     96,     99,    217,    205,    271,     87,     55,     53,     91,     90,    196,    181,    187,     43,     42,     28,     50,     79,    112,    132,    14.4,    19.4,    24.5,    27.2,    11.8,    15.1,    18.0,    22.1,    17.4,    20.2,    27.7,    29.0,    14.7,    16.9,    22.8,    25.3,    19.1,    24.7,    30.4,    37.8,    18.6,    20.6,    28.6,    32.7,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",190108,2019-01-08,001626,MGE ,00,001 ,   63793,   10085,   21858,    5422,   35512,   24622,   51020,   51902,   12773,   11891,   53589,    9841,   21590,    4709,   27486,   18739,   42036,   45037,   11553,    8552,   10204,     546,     570,     411,    8026,    5883,    8984,    6865,    1221,    3340,    -223,     211,   -1187,     522,   -1453,     470,    -721,    -195,     498,     -27,  100.0,   15.8,   34.3,    8.5,   55.7,   38.6,   80.0,   81.4,   20.0,   18.6,  100.0,   18.4,   40.3,    8.8,   51.3,   35.0,   78.4,   84.0,   21.6,   16.0,  100.0,    5.4,    5.6,    4.0,   78.7,   57.7,   88.0,   67.3,   12.0,   32.7,     87,     16,     18,     14,     45,     28,     69,     54,     87,     16,     19,     12,     45,     25,     69,     49,     45,      5,      8,      4,     18,     20,     23,     32,    24.8,    28.8,    35.1,    46.7,    20.0,    27.7,    28.0,    42.9,    25.0,    33.8,    36.5,    51.7,    22.8,    32.2,    31.0,    48.8,    46.7,    40.7,    66.8,    52.5,    46.7,    35.9,    63.6,    45.3,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"CORN - CHICAGO BOARD OF TRADE",190108,2019-01-08,002602,CBT ,00,002 , 1923679,  375608,  239824,  536144,  792152,  926350, 1703904, 1702318,  219776,  221361, 1605804,  348943,  282990,  423799,  647096,  732697, 1419838, 1439486,  185966,  166318,  317875,  102864,   33033,   36146,  145056,  193654,  284066,  262832,   33810,   55043,   42923,   14259,   -5246,   40969,  -20095,    3691,   35133,   39414,    7790,    3509,  100.0,   19.5,   12.5,   27.9,   41.2,   48.2,   88.6,   88.5,   11.4,   11.5,  100.0,   21.7,   17.6,   26.4,   40.3,   45.6,   88.4,   89.6,   11.6,   10.4,  100.0,   32.4,   10.4,   11.4,   45.6,   60.9,   89.4,   82.7,   10.6,   17.3,    840,    207,    152,    229,    357,    377,    675,    670,    827,    200,    160,    206,    347,    367,    649,    644,    518,     85,     77,     65,    133,    288,    244,    413,    12.9,     7.6,    19.1,    13.8,     9.5,     5.7,    13.3,     9.6,    13.4,     7.7,    19.6,    13.8,    12.1,     6.6,    17.2,    11.2,    21.8,    25.0,    34.9,    33.9,    20.2,    18.7,    30.0,    26.0,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 "
"OATS - CHICAGO BOARD OF TRADE",190108,2019-01-08,004603,CBT ,00,004 ,    5322,    2018,     710,     289,    1022,    3474,    3329,    4472,    1992,     849,    5037,    2001,     624,     196,     949,    3460,    3146,    4280,    1891,     757,     284,      64,     131,      47,      72,      14,     183,     192,     101,      92,      -5,     -50,      15,      13,     -67,       6,    -105,      34,     100,     -39,  100.0,   37.9,   13.3,    5.4,   19.2,   65.3,   62.6,   84.0,   37.4,   16.0,  100.0,   39.7,   12.4,    3.9,   18.8,   68.7,   62.5,   85.0,   37.5,   15.0,  100.0,   22.3,   46.0,   16.7,   25.5,    4.9,   64.5,   67.7,   35.5,   32.3,     29,     12,      5,      5,      9,      9,     24,     16,     28,     11,      6,      5,      8,      9,     23,     16,      8,      2,      1,      3,      4,      2,      7,      5,    40.3,    56.5,    49.6,    72.8,    40.3,    53.8,    48.8,    68.5,    42.6,    57.0,    51.6,    74.0,    42.6,    54.7,    51.6,    70.2,    55.7,    67.3,    64.5,    67.7,    43.4,    50.6,    47.5,    50.6,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 "
"SOYBEANS - CHICAGO BOARD OF TRADE",190108,2019-01-08,005602,CBT ,00,005 ,  779971,  129505,  115240,  197801,  395421,  371989,  722727,  685030,   57245,   94941,  701225,  131496,  105186,  167402,  351751,  351701,  650649,  624288,   50576,   76937,   78746,   14778,   26824,   13629,   43670,   20289,   72078,   60742,    6668,   18004,   12383,    7191,  -11276,    7249,   -2966,   14772,   11475,   10746,     908,    1637,  100.0,   16.6,   14.8,   25.4,   50.7,   47.7,   92.7,   87.8,    7.3,   12.2,  100.0,   18.8,   15.0,   23.9,   50.2,   50.2,   92.8,   89.0,    7.2,   11.0,  100.0,   18.8,   34.1,   17.3,   55.5,   25.8,   91.5,   77.1,    8.5,   22.9,    615,    146,    165,    204,    202,    251,    465,    521,    611,    149,    166,    185,    194,    247,    446,    506,    331,     59,     71,     50,     81,    164,    163,    264,    17.1,    11.9,    24.1,    18.0,    15.9,    10.9,    22.1,    15.5,    17.5,    12.8,    25.1,    19.2,    16.3,    11.8,    23.1,    17.0,    21.3,    25.6,    34.1,    35.6,    20.2,    23.7,    31.4,    31.3,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 "
"CALIF CARBON ALL VINTAGE 2018 - ICE FUTURES ENERGY DIV",190108,2019-01-08,0063A2,IFED,01,006 ,   47217,   11914,   10160,    1050,   34231,   36007,   47195,   47217,      22,       0,   47217,   11914,   10160,    1050,   34231,   36007,   47195,   47217,      22,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     994,     185,     -25,       0,     802,    1019,     987,     994,       7,       0,  100.0,   25.2,   21.5,    2.2,   72.5,   76.3,  100.0,  100.0,    0.0,    0.0,  100.0,   25.2,   21.5,    2.2,   72.5,   76.3,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,     10,      3,      1,     18,     14,     28,     18,     37,     10,      3,      1,     18,     14,     28,     18,      0,      0,      0,      0,      0,      0,      0,      0,    51.9,    62.9,    70.5,    87.5,    46.2,    62.9,    61.8,    84.9,    51.9,    62.9,    70.5,    87.5,    46.2,    62.9,    61.8,    84.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1,000 California carbon allowances","0063A2","IFED","006 "
"NJ SRECS VINTAGE 2019 - ICE FUTURES ENERGY DIV",190108,2019-01-08,0063A3,IFED,01,006 ,   42496,    4994,   24159,       0,   37502,   18337,   42496,   42496,       0,       0,   42496,    4994,   24159,       0,   37502,   18337,   42496,   42496,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -97,    -800,     800,     897,       0,       0,       0,       0,  100.0,   11.8,   56.9,    0.0,   88.2,   43.1,  100.0,  100.0,    0.0,    0.0,  100.0,   11.8,   56.9,    0.0,   88.2,   43.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      3,      6,      0,     10,      8,     13,     14,     24,      3,      6,      0,     10,      8,     13,     14,      0,      0,      0,      0,      0,      0,      0,      0,    73.9,    81.2,    95.5,    94.0,    73.9,    80.2,    95.5,    92.5,    73.9,    81.2,    95.5,    94.0,    73.9,    80.2,    95.5,    92.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A3","IFED","006 "
"NJ SRECS VINTAGE 2020 - ICE FUTURES ENERGY DIV",190108,2019-01-08,0063A4,IFED,01,006 ,   47091,    7611,   34328,       0,   39480,   12763,   47091,   47091,       0,       0,   47091,    7611,   34328,       0,   39480,   12763,   47091,   47091,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1895,     -75,      75,    1970,       0,       0,       0,       0,  100.0,   16.2,   72.9,    0.0,   83.8,   27.1,  100.0,  100.0,    0.0,    0.0,  100.0,   16.2,   72.9,    0.0,   83.8,   27.1,  100.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      2,      9,      0,     13,      8,     15,     17,     26,      2,      9,      0,     13,      8,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,    75.0,    75.3,    93.9,    92.1,    75.0,    75.3,    93.6,    90.0,    75.0,    75.3,    93.9,    92.1,    75.0,    75.3,    93.6,    90.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063A4","IFED","006 "
