"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","090741","CME","00","090","163451","43008","137","4625","37850","48321","6790","12779","48909","15810","12535","2019","59","133456","126670","29995","36781","-4536","-4645","-456","730","-1288","707","-32","1027","-2116","-898","217","-725","9","-4880","-2781","344","-1755","100.0","26.3","0.1","2.8","23.2","29.6","4.2","7.8","29.9","9.7","7.7","1.2","0.0","81.6","77.5","18.4","22.5","109","12",".","8","13","19","14","19","28","20","13","4",".","74","80","33.3","20.8","46.3","33.8","32.3","19.5","42.0","32.6","(CONTRACTS OF CAD 100,000)","090741","CME","090","F10","Combined"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","092741","CME","00","092","103856","68704","1841","1148","1698","32441","344","20603","36931","1410","919","858","0","94826","74973","9030","28883","-1285","288","-30","132","0","1319","31","-1704","-934","2","0","-13","0","-1250","507","-35","-1792","100.0","66.2","1.8","1.1","1.6","31.2","0.3","19.8","35.6","1.4","0.9","0.8","0.0","91.3","72.2","8.7","27.8","67","9",".",".",".","20",".","11","21","4",".",".","0","26","50","59.6","26.1","75.0","37.8","59.6","26.1","74.8","37.8","(CONTRACTS OF CHF 125,000)","092741","CME","092","F10","Combined"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","096742","CME","00","096","176019","25555","8079","4969","63544","74190","6901","31626","24141","16236","544","7789","251","149627","142557","26392","33462","-5137","580","47","691","58","-6050","720","-6361","3452","348","-311","-2787","51","-4224","-3527","-913","-1610","100.0","14.5","4.6","2.8","36.1","42.1","3.9","18.0","13.7","9.2","0.3","4.4","0.1","85.0","81.0","15.0","19.0","115","8","6","9","15","28","11","26","26","19",".",".",".","70","85","28.5","22.2","43.5","32.8","27.3","22.1","41.4","31.9","(CONTRACTS OF GBP 62,500)","096742","CME","096","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","097741","CME","00","097","229397","104854","2305","3673","33988","83879","9836","22495","64697","20069","3760","2570","320","198994","187350","30403","42047","247","-4048","615","468","479","-5251","888","3793","1876","1336","273","135","-644","2544","-577","-2297","824","100.0","45.7","1.0","1.6","14.8","36.6","4.3","9.8","28.2","8.7","1.6","1.1","0.1","86.7","81.7","13.3","18.3","129","11","4","8","21","29","13","17","36","22",".","8",".","77","97","42.3","30.2","53.2","39.7","41.8","30.2","50.9","39.0","(CONTRACTS OF JPY 12,500,000)","097741","CME","097","F10","Combined"
"EURO FX - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","099741","CME","00","099","573680","40485","78234","17904","305558","163094","34909","25971","150589","40933","17162","19222","863","483785","505749","89895","67931","-12992","3963","5472","-3447","1676","-5273","-4180","-1334","2683","-7217","-160","302","-742","-11441","-12402","-1551","-590","100.0","7.1","13.6","3.1","53.3","28.4","6.1","4.5","26.2","7.1","3.0","3.4","0.2","84.3","88.2","15.7","11.8","298","19","12","15","93","40","45","31","65","33","20","18","9","201","199","15.3","24.2","24.5","35.8","14.7","23.2","23.0","34.7","(CONTRACTS OF EUR 125,000)","099741","CME","099","F10","Combined"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","232741","CME","00","232","179508","75171","3557","4561","15482","59492","4326","34536","41303","13558","4748","6074","222","152605","133094","26903","46414","3227","-443","218","1130","-738","-324","-95","1664","481","383","463","917","-972","1393","1739","1834","1488","100.0","41.9","2.0","2.5","8.6","33.1","2.4","19.2","23.0","7.6","2.6","3.4","0.1","85.0","74.1","15.0","25.9","97","10",".","7","13","18","14","21","24","18",".","5",".","63","74","39.2","29.6","54.4","39.8","37.7","29.5","51.1","39.5","(CONTRACTS OF AUD 100,000)","232741","CME","232","F10","Combined"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","299741","CME","00","099","28224","0","7464","0","10812","9681","3538","1470","0","4","0","583","8","15832","21278","12392","6946","732","0","0","0","-92","631","2","284","0","3","0","0","0","197","636","535","96","100.0","0.0","26.4","0.0","38.3","34.3","12.5","5.2","0.0","0.0","0.0","2.1","0.0","56.1","75.4","43.9","24.6","24","0",".","0","11","8","8",".","0",".","0",".",".","20","14","26.5","46.4","39.0","66.4","24.0","40.7","35.7","58.1","(CONTRACTS OF EUR 125,000)","299741","CME","099","F10","Combined"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","399741","CME","00","099","24571","4320","4769","608","8205","10883","2587","2743","0","0","0","0","0","18463","18847","6108","5724","504","-20","13","-13","5","416","71","29","0","0","0","0","0","72","487","432","17","100.0","17.6","19.4","2.5","33.4","44.3","10.5","11.2","0.0","0.0","0.0","0.0","0.0","75.1","76.7","24.9","23.3","20",".",".",".","6","9","8",".","0","0","0","0","0","16","13","46.5","55.3","65.4","68.2","44.4","49.4","60.3","59.8","(CONTRACTS OF EUR 125,000)","399741","CME","099","F10","Combined"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","089741","CME","00","089","64580","0","51485","500","58833","0","0","3286","10553","0","299","1109","0","62918","63647","1662","933","1950","0","2979","0","2789","0","0","-700","-1070","0","0","70","0","2089","1979","-139","-29","100.0","0.0","79.7","0.8","91.1","0.0","0.0","5.1","16.3","0.0","0.5","1.7","0.0","97.4","98.6","2.6","1.4","37","0","4",".","9","0","0","12","9","0",".",".","0","23","15","86.3","81.6","91.9","94.5","86.3","80.9","91.9","93.7","(CONTRACTS OF RUB 2,500,000)","089741","CME","089","F15","Combined"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE","190507","2019-05-07","095741","CME","00","095","264388","379","156180","1040","158269","11957","10","94324","58612","693","2380","32158","201","257296","260851","7092","3537","5180","-22","3091","-22","4960","1008","10","611","-275","270","-240","809","158","5725","5049","-545","131","100.0","0.1","59.1","0.4","59.9","4.5","0.0","35.7","22.2","0.3","0.9","12.2","0.1","97.3","98.7","2.7","1.3","177",".","13",".","35","8",".","53","34","9","12","19",".","111","79","43.6","53.2","59.5","66.9","43.6","53.2","59.5","66.9","(CONTRACTS OF MXN 500,000)","095741","CME","095","F15","Combined"
