"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","090741","CME","00","090","140682","42996","1549","1194","27692","43527","3612","11027","44659","9820","12932","2033","49","109322","106443","31360","34239","-7376","354","507","143","-8469","-3978","-2604","-2320","-3589","1974","506","70","-9","-10425","-7486","3049","110","100.0","30.6","1.1","0.8","19.7","30.9","2.6","7.8","31.7","7.0","9.2","1.4","0.0","77.7","75.7","22.3","24.3","99","11",".","5","8","20","8","16","27","14","12",".",".","59","69","40.3","18.6","50.1","31.3","39.5","17.2","46.3","29.5","(CONTRACTS OF CAD 100,000)","090741","CME","090","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","092741","CME","00","092","88283","62005","2588","13","985","30291","324","15124","26944","241","919","1501","0","79611","61902","8672","26381","-5499","-3659","-241","0","-575","-1752","-17","-1382","-4654","2","0","643","0","-5631","-6019","132","520","100.0","70.2","2.9","0.0","1.1","34.3","0.4","17.1","30.5","0.3","1.0","1.7","0.0","90.2","70.1","9.8","29.9","58","7",".",".",".","19",".","9","16",".",".",".","0","22","43","65.9","27.1","80.6","40.2","65.6","27.1","80.3","40.2","(CONTRACTS OF CHF 125,000)","092741","CME","092","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","096742","CME","00","096","190191","59528","3816","571","58304","95299","4441","33229","34367","9129","0","7134","0","165202","154757","24989","35434","33298","34698","-531","-245","-1828","17185","-12","-3776","10900","3015","0","-240","0","31852","30072","1446","3226","100.0","31.3","2.0","0.3","30.7","50.1","2.3","17.5","18.1","4.8","0.0","3.8","0.0","86.9","81.4","13.1","18.6","116","9","5","4","14","28","10","26","32","20","0",".","0","63","87","33.7","20.8","48.3","33.3","33.6","20.4","47.3","32.9","(CONTRACTS OF GBP 62,500)","096742","CME","096","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","097741","CME","00","097","170834","62641","12172","350","31741","58030","8643","33326","50259","4365","4520","2342","0","145586","136161","25248","34673","-9739","-398","4952","-666","-2381","-2999","-1709","-4409","-10735","1292","501","886","0","-7770","-8979","-1969","-760","100.0","36.7","7.1","0.2","18.6","34.0","5.1","19.5","29.4","2.6","2.6","1.4","0.0","85.2","79.7","14.8","20.3","122","6","7","4","20","25","12","20","37","13",".","4","0","62","89","41.0","30.5","51.6","38.6","40.3","30.3","49.7","38.1","(CONTRACTS OF JPY 12,500,000)","097741","CME","097","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","099741","CME","00","099","516122","35156","87482","8123","300566","163388","28660","35410","142820","7056","16855","17196","191","432017","454916","84105","61206","11662","-283","3500","1376","4655","7159","-2202","4972","689","725","339","1717","-46","9536","12918","2126","-1256","100.0","6.8","16.9","1.6","58.2","31.7","5.6","6.9","27.7","1.4","3.3","3.3","0.0","83.7","88.1","16.3","11.9","286","18","13","11","90","39","40","34","58","17","16","18",".","181","176","17.7","25.6","27.9","38.1","17.1","24.3","26.3","36.7","(CONTRACTS OF EUR 125,000)","099741","CME","099","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","232741","CME","00","232","183247","81787","4913","1960","17954","69029","3208","40382","50633","3830","3102","5592","0","152223","139165","31024","44082","17665","4547","1419","-569","1442","8083","-36","9469","6645","-217","1402","516","0","16038","15841","1627","1824","100.0","44.6","2.7","1.1","9.8","37.7","1.8","22.0","27.6","2.1","1.7","3.1","0.0","83.1","75.9","16.9","24.1","103","9",".","4","12","20","13","23","27","9","4","5","0","59","70","39.4","29.5","56.1","40.4","38.6","29.3","53.7","39.8","(CONTRACTS OF AUD 100,000)","232741","CME","232","F10","FutOnly"
"EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","299741","CME","00","099","26695","0","6430","0","8712","8408","3480","530","1472","0","0","583","8","12730","20381","13965","6314","-1095","0","-586","0","-989","-1268","-25","-801","1472","0","0","0","0","-1815","-407","720","-688","100.0","0.0","24.1","0.0","32.6","31.5","13.0","2.0","5.5","0.0","0.0","2.2","0.0","47.7","76.3","52.3","23.7","24","0",".","0","10","8","8",".",".","0","0",".",".","18","15","21.8","44.5","34.3","62.3","19.0","38.2","29.9","53.8","(CONTRACTS OF EUR 125,000)","299741","CME","099","F10","FutOnly"
"EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","399741","CME","00","099","26784","4332","4804","573","8613","12226","2331","5054","996","12","0","0","0","20915","20942","5869","5842","346","0","1","-1","-5","421","-110","203","0","9","0","0","0","96","320","250","26","100.0","16.2","17.9","2.1","32.2","45.6","8.7","18.9","3.7","0.0","0.0","0.0","0.0","78.1","78.2","21.9","21.8","23",".",".",".","6","9","8",".",".",".","0","0","0","18","15","48.1","53.9","65.2","68.5","46.2","49.5","61.9","62.0","(CONTRACTS OF EUR 125,000)","399741","CME","099","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","089741","CME","00","089","58826","114","51454","50","46071","0","0","3778","6128","0","7081","462","0","57094","58094","1732","732","-1595","114","5","-500","-7565","0","0","-263","-395","0","6782","-615","0","-1432","-1505","-163","-90","100.0","0.2","87.5","0.1","78.3","0.0","0.0","6.4","10.4","0.0","12.0","0.8","0.0","97.1","98.8","2.9","1.2","36",".","4",".","8","0","0","13","7","0",".",".","0","25","12","85.9","88.8","91.4","97.0","85.9","88.8","91.4","96.9","(CONTRACTS OF RUB 2,500,000)","089741","CME","089","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE","190521","2019-05-21","095741","CME","00","095","271550","266","159044","800","163909","18095","10","95380","57327","1447","2982","31685","23","264817","268431","6733","3119","6037","0","1796","0","107","223","0","4409","2842","785","640","567","-20","5921","6193","116","-156","100.0","0.1","58.6","0.3","60.4","6.7","0.0","35.1","21.1","0.5","1.1","11.7","0.0","97.5","98.9","2.5","1.1","173",".","12",".","34","8",".","57","29","5","14","17",".","111","70","44.6","51.3","61.3","68.1","44.6","51.3","61.3","68.1","(CONTRACTS OF MXN 500,000)","095741","CME","095","F15","FutOnly"
